1,2,"[77, 41]"
2,4,"[18, 54, 13, 34]"
3,4,"[40, 31, 31, 19]"
4,3,"[37, 25, 57]"
5,1,[102]
6,2,"[34, 84]"
7,3,"[48, 50, 24]"
8,1,[91]
9,5,"[29, 21, 35, 20, 15]"
10,3,"[75, 30, 13]"
11,1,[111]
1,3,"[38, 57, 24]"
2,3,"[34, 28, 55]"
3,2,"[49, 73]"
4,4,"[18, 26, 39, 37]"
5,6,"[10, 25, 31, 25, 6, 22]"
6,1,[44]
7,5,"[31, 26, 30, 19, 14]"
8,2,"[83, 20]"
9,3,"[32, 70, 14]"
10,5,"[15, 21, 37, 16, 27]"
1,3,"[39, 36, 47]"
2,3,"[42, 37, 43]"
3,4,"[25, 16, 63, 17]"
4,4,"[49, 29, 26, 16]"
5,4,"[38, 23, 32, 16]"
6,3,"[60, 25, 36]"
7,5,"[24, 36, 37, 14, 8]"
8,4,"[32, 15, 23, 50]"
9,5,"[12, 52, 18, 11, 26]"
10,3,"[27, 47, 36]"
11,3,"[56, 28, 16]"
12,3,"[39, 46, 33]"
13,2,"[54, 57]"
14,4,"[37, 41, 16, 26]"
15,1,[78]
16,4,"[32, 30, 33, 26]"
17,3,"[21, 53, 41]"
18,5,"[17, 8, 31, 25, 39]"
19,4,"[38, 33, 22, 28]"
20,3,"[66, 36, 19]"
21,4,"[20, 27, 21, 53]"
22,3,"[54, 36, 32]"
23,5,"[21, 42, 44, 6, 7]"
24,2,"[59, 52]"
25,4,"[19, 39, 31, 32]"
26,3,"[29, 50, 43]"
1,5,"[37, 16, 22, 27, 18]"
2,1,[106]
3,2,"[56, 59]"
4,3,"[23, 24, 68]"
5,4,"[40, 21, 30, 30]"
6,3,"[45, 50, 15]"
7,6,"[11, 16, 29, 24, 25, 14]"
8,3,"[30, 24, 68]"
9,3,"[12, 56, 49]"
10,5,"[11, 20, 29, 39, 20]"
11,2,"[75, 41]"
12,4,"[11, 52, 49, 7]"
13,4,"[23, 16, 44, 37]"
14,2,"[19, 76]"
15,1,[81]
16,5,"[14, 18, 35, 35, 18]"
17,3,"[32, 75, 14]"
18,2,"[54, 67]"
19,3,"[37, 27, 58]"
20,2,"[91, 6]"
21,4,"[20, 44, 23, 34]"
1,1,[91]
2,3,"[23, 42, 50]"
3,2,"[13, 108]"
4,4,"[20, 37, 29, 35]"
5,1,[93]
6,2,"[27, 83]"
7,2,"[68, 52]"
8,2,"[73, 44]"
9,7,"[7, 21, 32, 25, 11, 17, 5]"
10,4,"[29, 29, 33, 30]"
11,4,"[34, 51, 21, 15]"
12,4,"[25, 51, 16, 29]"
13,2,"[38, 77]"
14,4,"[29, 18, 25, 49]"
15,4,"[39, 9, 49, 23]"
16,4,"[40, 51, 8, 19]"
17,6,"[15, 17, 20, 23, 22, 22]"
18,3,"[31, 51, 39]"
19,2,"[62, 42]"
20,2,"[44, 65]"
21,3,"[57, 33, 31]"
22,4,"[41, 34, 28, 18]"
23,3,"[56, 37, 9]"
24,3,"[45, 35, 41]"
25,4,"[32, 52, 21, 11]"
26,3,"[28, 23, 43]"
27,6,"[10, 21, 31, 25, 19, 13]"
28,5,"[22, 14, 21, 37, 26]"
29,4,"[20, 42, 19, 39]"
30,4,"[33, 31, 11, 46]"
31,6,"[20, 38, 14, 18, 20, 9]"
32,3,"[33, 53, 36]"
33,3,"[42, 56, 21]"
34,5,"[12, 21, 46, 11, 30]"
35,3,"[37, 60, 25]"
36,2,"[36, 72]"
37,4,"[47, 19, 24, 30]"
38,3,"[13, 48, 50]"
39,4,"[26, 19, 24, 52]"
40,3,"[16, 43, 56]"
41,5,"[29, 19, 31, 31, 9]"
42,4,"[23, 42, 44, 12]"
43,4,"[30, 39, 28, 24]"
44,4,"[22, 29, 45, 25]"
45,5,"[29, 24, 30, 18, 19]"
46,4,"[43, 32, 27, 18]"
47,5,"[18, 17, 16, 23, 46]"
48,1,[69]
49,2,"[54, 65]"
50,4,"[28, 9, 20, 63]"
51,4,"[30, 39, 23, 29]"
52,3,"[22, 56, 42]"
53,4,"[11, 53, 26, 31]"
54,4,"[18, 22, 32, 49]"
55,2,"[77, 37]"
56,5,"[27, 27, 20, 20, 26]"
57,3,"[32, 43, 46]"
58,2,"[50, 52]"
59,4,"[31, 30, 39, 21]"
60,3,"[59, 28, 28]"
61,4,"[34, 24, 20, 43]"
62,2,"[72, 42]"
63,4,"[49, 22, 24, 25]"
64,2,"[53, 34]"
65,4,"[29, 49, 20, 23]"
66,1,[112]
67,3,"[45, 33, 44]"
68,1,[115]
69,3,"[35, 24, 56]"
70,4,"[36, 11, 35, 39]"
71,3,"[59, 30, 21]"
72,4,"[41, 6, 16, 47]"
73,4,"[60, 14, 12, 32]"
74,3,"[41, 54, 18]"
75,2,"[30, 76]"
76,3,"[59, 33, 18]"
77,5,"[17, 13, 46, 18, 26]"
78,2,"[75, 22]"
79,3,"[51, 43, 28]"
80,2,"[17, 88]"
81,4,"[33, 35, 31, 22]"
82,2,"[73, 23]"
83,4,"[51, 26, 21, 23]"
84,4,"[23, 21, 22, 55]"
1,2,"[87, 35]"
2,3,"[37, 50, 31]"
3,3,"[49, 25, 48]"
4,2,"[37, 77]"
5,3,"[48, 21, 52]"
6,5,"[6, 22, 41, 34, 15]"
7,4,"[16, 37, 34, 33]"
8,4,"[32, 29, 32, 26]"
9,4,"[39, 44, 28, 3]"
1,4,"[21, 77, 12, 10]"
2,5,"[40, 22, 20, 22, 15]"
1,5,"[11, 9, 35, 29, 36]"
2,4,"[36, 23, 33, 29]"
